workshop.number,noc,participant.id,trend.1,effect.1,trend.2,effect.2,trend.3,effect.3,trend.4,effect.4,trend.5,effect.5,absolute,share,comfort,missing.q,add.notes,input
1,"Senior managers - financial, communications and other business services",1,12,up,28,up,31,up,18,up,23,up,more,increase,9,no,,d
1,Financial managers,1,11,up,12,down,26,down,increased inequality,down,,,fewer,decrease,9,no,,d
1,Electrical mechanics,1,1,down,11,down,5,down,,,,,fewer,decrease,8,no,,d
1,Furniture and fixture assemblers and inspectors,1,22,down,6,down,,,,,,,fewer,decrease,8,no,,d
1,Underground production and development miners,1,18,down,2,up,,,,,,,fewer,decrease,5,no,,d
1,Forestry technologists and technicians,1,1,up,4,up,19,up,27,up,,,more,increase,7,no,,d
1,Heavy-duty equipment mechanics,1,1,up,,,,,,,,,more,remain constant,8,no,,d
1,General farm workers,1,13,up,climate change,up,18,up,,,,,more,increase,8,no,,d
1,"Central control and process operators, petroleum, gas and chemical processing",1,18,down,21,down,28,up,,,,,fewer,decrease,8,no,,d
1,Managers in agriculture,1,6,down,22,down,23,down,,,,,fewer,decrease,8,no,,d
1,"Oil and gas well drillers, servicers, testers and related workers",1,18,down,21,down,climate change,down,,,,,fewer,decrease,10,no,,d
1,Computer network technicians,1,13,up,5,up,6,up,,,,,more,increase,9,no,,d
1,Industrial and manufacturing engineers,1,9,down,17,up,28,down,12,up,24,up,more,increase,7,no,,d
1,Instructors of persons with disabilities,1,24,up,26,up,30,up,,,,,more,remain constant,8,no,,d
1,"Labourers in food, beverage and associated products processing",1,1,down,26,down,8,down,,,,,fewer,decrease,9,no,,d
1,Court clerks,1,23,down,3,down,24,down,20,up,25,down,fewer,decrease,10,no,,d
1,Plastics processing machine operators,1,5,up,18,down,,,,,,,same,decrease,7,no,,d
1,"Supervisors, petroleum, gas and chemical processing and utilities",1,18,down,20,up,21,up,1,down,,,fewer,increase,8,no,,d
1,"Operators and attendants in amusement, recreation and sport",1,1,up,2,up,7,up,11,up,22,up,more,increase,10,no,,d
1,Medical administrative assistants,1,13,up,1,down,9,up,,,,,fewer,decrease,8,no,,d
1,"Senior managers - financial, communications and other business services",2,flatter work environments,down,demographic mix - younger generations rejecting top down,down,need for strong leadership in shifting times,up,,,,,same,remain constant,7,no,Trend 1 hard to read,d
1,Financial managers,2,emerging technologies,up,need to become a data manager and gain skills,up,security issues,up,,,,,same,increase,6,no,,d
1,Electrical mechanics,2,remote sensing,down,ai/automation,down,technological change,down,,,,,fewer,decrease,5,no,,d
