workshop.number	noc	participant.id	trend.1	effect.1	trend.2	effect.2	trend.3	effect.3	trend.4	effect.4	trend.5	effect.5	absolute	share	comfort	missing.q	add.notes	input
2	Financial managers	1	12	up	16	up	9	up	3	down	1	down	same	increase	6	no		d
2	Court clerks	1	1	down	4	up	23	up					fewer	decrease	8	no		d
2	Medical administrative assistants	1	3	down	1	down	25 - privacy	down					fewer	decrease	10	no		d
2	Electrical mechanics	1	21	up	18	up	23	up	26	up			more	remain constant	7	no		d
2	Technical sales specialists - wholesale trade	1	tech complexity	up									more	increase	9	no		d
2	Industrial and manufacturing engineers	1	1	up	19	up	5	up					more	increase	9	no		d
2	Underground production and development miners	1	18	up	11	down	27	up	21	up			more	increase	6	no		d
2	Furniture and fixture assemblers and inspectors	1	23	down	18	down	environmentalism	up	5	down			fewer	decrease	8	no		d
2	Instructors of persons with disabilities	1	2	down	13	down	aging population	up	8	up			more	increase	7	no		d
2	Computer network technicians	1	22	up	1	up	25	up					more	increase	7	no		d
2	Restaurant and food service managers	1	22	up	4	up	14	up					more	increase	7	no		d
2	"Health policy researchers, consultants and program officers"	1	28	up	aging population	up	13	up	16	up	20	up	more	increase	9	no		d
2	Real estate agents and salespersons	1	1	down	size/importance of purchase	up	12	up	26	down	23	down	fewer	decrease	3	no		d
2	"Senior managers - financial, communications and other business services"	1	23	up	6	up	urbanization	up					same	remain constant	7	no		d
2	Forestry technologists and technicians	1	19	up	18	down	21	up	8	down	11	down	fewer	decrease	8	no		d
2	"Operators and attendants in amusement, recreation and sport"	1	4	up	17	up	1	down					more	increase	6	no		d
2	Lawyers and Quebec notaries	1	1	down	increasing role of government	up	9	up					fewer	decrease	4	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	1	5	down	27	up	1 - automation	down					fewer	decrease	8	no		d
2	"Labourers in food, beverage and associated products processing"	1	22	up	27	up	eat local	up	18	up			same	remain constant	5	no		d
2	Plastics processing machine operators	1	5	down	27	up	"18 - less petroleum, increase neutral"	down					fewer	decrease	7	no		d
2	Financial managers	2	3	up	1	down	18	up	27	up	25	up	same	decrease	5	no		d
2	Court clerks	2	20	up	2	down	25	up	1	down			fewer	decrease	5	no		d
2	Medical administrative assistants	2	25	down	7	down	2	down					same	decrease	5	no		d
2	Electrical mechanics	2	21	up	distributed energy	up	1 - 5G	up	3	up			more	increase	6	no		d
2	Technical sales specialists - wholesale trade	2	8	up	2	up	12	up					more	remain constant	6	no		d
2	Industrial and manufacturing engineers	2	5	down	18	down	1	up	21	up	28	up	fewer	decrease	6	no		d
2	Underground production and development miners	2	2	down	1	down	21	up					fewer	decrease	8	no		d
2	Furniture and fixture assemblers and inspectors	2	5	down	18	down	28	up					fewer	decrease	7	no		d
2	Instructors of persons with disabilities	2	17	up	30	up	2	down	27	up	8	down	more	decrease	5	no	additional trend: fiscal policy	d
2	Computer network technicians	2	IOT	up	21	up	22	up					same	remain constant	6	no		d
2	Restaurant and food service managers	2	4	up	28	up							more	increase	4	no		d
2	"Health policy researchers, consultants and program officers"	2	7	up	25	up	3	up	20	up	31	up	more	remain constant	6	no		d
2	Real estate agents and salespersons	2	3 + land registry	down	20	up	2	down	22	up			same	decrease	5	no		d
2	"Senior managers - financial, communications and other business services"	2	3	up	1	up	27	up	6	down	19	up	fewer	decrease	5	no		d
2	Forestry technologists and technicians	2	climate change mitigation	up	urban forestry	up	18	down	19	up	22	up	more	increase	6	no		d
2	"Operators and attendants in amusement, recreation and sport"	2	2	down	4	up	14	up	31	up			more	remain constant	6	no		d
2	Lawyers and Quebec notaries	2	1	none	10	up	18 + related climate issues	up	land rights	up			same	decrease	6	no		d
2	"Supervisors, petroleum, gas and chemical processing and utilities"	2	1	down									same	decrease	5	no		d
2	"Labourers in food, beverage and associated products processing"	2	dietary changes	down	27	up	19 - climate change	up					fewer	decrease	6	no		d
2	Plastics processing machine operators	2	5	down	27	down	18	down	1	up			fewer	decrease	7	no		d
2	Financial managers	3	27	up	1	down	3	up	8	up			same	remain constant	4	no		d
2	Court clerks	3	1	down	3	down	14	down					fewer	decrease	6	no		d
2	Medical administrative assistants	3	3	down	political uncertainty	both	1	down	robotics	down	changing demographics	up	fewer	decrease	7	no		d
2	Electrical mechanics	3	18	up	5	up	15	up	30	up	27	up	more	increase	7	no		d
2	Technical sales specialists - wholesale trade	3	1	up	15	up	28	up	9	up	14	down	more	increase	6	no		d
2	Industrial and manufacturing engineers	3	1	up	2	up	5	both	30	up	15	up	more	increase	6	no		d
2	Underground production and development miners	3	environmental change	down	1	down	2	down	IOT	down			fewer	decrease	9	no		d
2	Furniture and fixture assemblers and inspectors	3	5	down	gig economy	up	1 + robotics	down	disposable economy	up	18	both	fewer	decrease	7	no		d
2	Instructors of persons with disabilities	3	demographic shift	up	government policy	both	8	both	1	up	5	down	same	remain constant	5	no		d
