workshop.number	noc	participant.id	trend.1	effect.1	trend.2	effect.2	trend.3	effect.3	trend.4	effect.4	trend.5	effect.5	absolute	share	comfort	missing.q	add.notes
4	Accommodation service managers	1	28	up	aging population	up	tourism/ CAD value	up					more	increase	7		
4	Accounting technicians and bookkeepers	1	1	down	3	down							fewer	increase	5		
4	Chefs	1	28	up	29	up	15	up					more	increase	8		
4	Computer network technicians	1	1	down	11	down	12	up	25	down	3	down	more	increase	7		
4	Court clerks	1	1	down	31	up							more	increase	4		
4	Electrical mechanics	1	8	down	2	down	21	up					more	increase	6		
4	Financial managers	1	1	down	13	up	15	up	17	up			more	increase	5		
4	Forestry technologists and technicians	1	19	up	18	down							same	remain constant	4		
4	Furniture and fixture assemblers and inspectors	1	Recycling culture	down	1	down	5	down					fewer	decrease	5		
4	Graphic designers and illustrators	1	12	up	16	up							more	increase	8		
4	Industrial and manufacturing engineers	1	1	down	12	up	21	up	18	up			more	increase	6		
4	Instructors of persons with disabilities	1	Aging population	down									same	remain constant	4		
4	"Labourers in food, beverage and associated products processing"	1	1	down									same	remain constant			
4	Medical administrative assistants	1	1	down	11	down	aging population	up					more	increase	5		
4	"Operators and attendants in amusement, recreation and sport"	1	1	down	19	down	16	up	13	up			more	increase	6		
4	Painters and decorators (except interior decorators)	1	housing/ increasing house numbers	up	19	down							same	remain constant	7		
4	Plastics processing machine operators	1	1	down	5	down							fewer	increase	7		
4	"Senior managers - financial, communications and other business services"	1	1	down	13	up	15	up					same	remain constant	4		
4	"Supervisors, petroleum, gas and chemical processing and utilities"	1	21	down	LNG projects	up							more	increase	6		
4	Underground production and development miners	1	1	down	18	down							fewer	decrease	6		
4	Accommodation service managers	2	26	up	27	down							same	remain constant	6		
4	Accounting technicians and bookkeepers	2	28	up	1	down	remote working	down					fewer	decrease	5		
4	Chefs	2	29	up	28	up	18	down	31	up	Population growth	up	more	increase	6		"additional trend: 23, down"
4	Computer network technicians	2	6	down	9	up	27	up					same	decrease	6		
4	Court clerks	2	1	up	20	up	31	down					same	decrease	5		
4	Electrical mechanics	2	19	up	18	up	21	up	22	up			more	increase	8		
4	Financial managers	2	1	up	3	up	23	up	2	up	9	up	more	remain constant	4		
4	Forestry technologists and technicians	2	19	down	18	down	1	up	31	up	3	down	fewer	decrease	7		
4	Furniture and fixture assemblers and inspectors	2	5	down	27	up	Maker culture	down	Cheap imports	down			fewer	decrease	6		
4	Graphic designers and illustrators	2	1	up	2	up	11	down					more	increase	7		
4	Industrial and manufacturing engineers	2	5	down	1	up	21	up	12	up	15	up	more	increase	5		
4	Instructors of persons with disabilities	2	19	down	23	down							fewer	decrease	7		
4	"Labourers in food, beverage and associated products processing"	2	1	down	18	down	26	down	23	up	Wellness trends	up	same	decrease	5		
4	Medical administrative assistants	2	1	down	8	down	23	down	precarious work	down	aging population	up	same	remain constant	6		
4	"Operators and attendants in amusement, recreation and sport"	2	15	up	1	down	2	up	27	down	26	up	more	increase	6		
4	Painters and decorators (except interior decorators)	2	22	up	23	up	19	up					more	remain constant	5		
4	Plastics processing machine operators	2	5	up	3	up	1	down	18	down			same	decrease	6		
4	"Senior managers - financial, communications and other business services"	2	1	up	6	down	12	up	26	down	28	up	same	increase	6		
4	"Supervisors, petroleum, gas and chemical processing and utilities"	2	1	up	21	down	18	down	27	down			fewer	decrease	6		
4	Underground production and development miners	2	1	down	27	down	19	down					fewer	decrease	8		
4	Accommodation service managers	3	28	up	4	up	19	down	31	up	tourism CAN #1 industry		more	increase	10		
4	Accounting technicians and bookkeepers	3	7	up	DIY	down	16	up	moves to simpler systems 	down			same	remain constant	7		
4	Chefs	3	Tourism	up	Foodie Trend	up	Demographics	up					more	increase	10		
4	Computer network technicians	3	1	down	18	down	6	up	19	up	9	down	fewer	decrease	7		
4	Court clerks	3	1	down	20	up	22	up					same	remain constant	6		
4	Electrical mechanics	3	28	up	19	up	21	up	24	up	22	up	same	increase	10		
4	Financial managers	3	1	up	3	down	32	up	16	up	24	up	more	increase	9		There is no 32
4	Forestry technologists and technicians	3	1	down	27	down	18	down	19	down	21	down	fewer	decrease	8		
