workshop.number,noc,participant.id,trend.1,effect.1,trend.2,effect.2,trend.3,effect.3,trend.4,effect.4,trend.5,effect.5,absolute,share,comfort,missing.q,add.notes
3,"Air pilots, flight engineers and flying instructors",1,13,up,Current shortage of pilots,up,23,up,30,up,24,up,same,remain constant,7,no,
3,Air transport ramp attendants,1,1,up,23,up,24,up,9,up,11,up,fewer,decrease,8,no,
3,Airline ticket and service agents,1,1,up,11,up,24,up,25,up,27,up,fewer,decrease,7,no,
3,Carpenters,1,23,up,19,up,30,up,11,up,22,up,more,increase,8,no,
3,Computer network technicians,1,1,up,7,up,11,up,29,up,30,up,more,increase,8,no,
3,Correctional service officers,1,29,up,27,up,22,up,7,up,23,up,more,increase,8,no,
3,Court clerks,1,1,up,30,up,12,up,30,up,24,down,fewer,decrease,7,no,
3,Electrical mechanics,1,1,up,21,up,12,up,8,up,23,up,fewer,remain constant,7,no,
3,Financial managers,1,political uncertainty,up,3,up,30,up,25,up,16,up,more,remain constant,8,no,
3,Forestry technologists and technicians,1,19,up,18,down,22,up,28,up,21,up,same,remain constant,8,no,
3,Furniture and fixture assemblers and inspectors,1,1,up,5,up,18,up,23,up,29,up,same,decrease,7,no,
3,Industrial and manufacturing engineers,1,18,up,21,up,14,up,27,up,30,up,more,increase,9,no,
3,Instructors of persons with disabilities,1,2,up,8,up,17,up,28,up,29,up,more,increase,7,no,
3,"Labourers in food, beverage and associated products processing",1,22,up,23,up,30,up,31,up,11,up,same,remain constant,7,no,
3,Medical administrative assistants,1,1,up,30,up,16,up,15,up,24,down,fewer,decrease,8,no,
3,"Operators and attendants in amusement, recreation and sport",1,2,up,7,up,16,up,28,up,22,up,more,increase,8,no,
3,Plastics processing machine operators,1,1,up,9,up,17,up,18,up,27,up,fewer,remain constant,8,no,
3,"Senior managers - financial, communications and other business services",1,27,up,13,up,1,up,7,up,24,up,more,increase,8,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",1,12,up,13,up,15,up,18,up,28,up,more,increase,7,no,
3,Underground production and development miners,1,1,up,30,up,23,up,18,up,27,up,same,decrease,8,no,
3,"Air pilots, flight engineers and flying instructors",2,Tech change,down,New tech,up,,,,,,,more,increase,9,no,
3,Air transport ramp attendants,2,technological change,down,,,,,,,,,fewer,decrease,9,no,
3,Airline ticket and service agents,2,tech change,down,7,down,10,down,,,,,fewer,decrease,9,no,
3,Carpenters,2,New techs,up,Environmental change,up,Lifestyle changes,up,21,up,5,down,more,increase,9,no,
3,Computer network technicians,2,Technological change,up,Globalization,up,Entrepreneurial skills,up,6,up,7,up,more,increase,9,no,
3,Correctional service officers,2,Technological Change,down,,,,,,,,,fewer,decrease,9,no,
3,Court clerks,2,demographic change ,up,technological change,down,urbanization,up,increasing inequality,up,political uncertainty,up,more,remain constant,9,no,
3,Electrical mechanics,2,Technological change,up,Environmental change,up,21,up,11,down,1,up,more,increase,9,no,
3,Financial managers,2,globalization,up,technological change,down,demographic change,up,increasing inequality,up,change in economy movements,up,more,increase,8,no,
3,Forestry technologists and technicians,2,Environmental changes,up,29,up,Technological change,up,,,,,more,increase,9,no,
3,Furniture and fixture assemblers and inspectors,2,aging population,up,technological,up,16,up,1,up,17,down,more,increase,8,no,
3,Industrial and manufacturing engineers,2,Technological Change,up,Environmental Change,up,28,up,17,up,18,up,more,increase,9,no,
3,Instructors of persons with disabilities,2,increasing inequality,up,8 technology change,down,20,up,13,up,11,down,fewer,decrease,9,no,
3,"Labourers in food, beverage and associated products processing",2,climate change,up,18,down,tech change,down,31,up,political uncertainty,up,more,remain constant,9,no,
3,Medical administrative assistants,2,1 + technological change,up,25,up,20,up,,,,,more,increase,9,no,
3,"Operators and attendants in amusement, recreation and sport",2,13,up,14,up,16 + detox,up,4,up,30,up,more,increase,9,no,
3,Plastics processing machine operators,2,Technology change,down,Environmental change,down,Political uncertainty,down,Labour arbitrage,down,5,down,fewer,decrease,9,no,
3,"Senior managers - financial, communications and other business services",2,technological change,up,globalization,up,28,up,13,up,17,up,more,increase,9,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",2,Aging population,up,Climate change,up,Technological change,down,Political uncertainty,up,18,up,more,increase,9,no,
3,Underground production and development miners,2,technological change,up,18,down,,,,,,,more,increase,9,no,
3,"Air pilots, flight engineers and flying instructors",3,More flights overall,up,More drones for non-passenger flights,down,,,,,,,more,remain constant,7,no,
3,Air transport ramp attendants,3,automated ground vehicles,down,more automated luggage movers,down,increased flights,up,,,,,same,decrease,5,no,
3,Airline ticket and service agents,3,increased automation,down,more air transport,up,more self service,down,automated secuirty,down,,,fewer,decrease,8,no,
3,Carpenters,3,More automated production of pre-fabricated parts,down,Less single-family houses,down,Increased material options,up,,,,,fewer,decrease,8,no,
3,Computer network technicians,3,Networks are well established,down,Network technology is evolving - with new systems architecture,up,,,,,,,fewer,decrease,5,no,
3,Correctional service officers,3,More automated security,down,Fewer prisoners,down,,,,,,,fewer,decrease,7,no,
3,Court clerks,3,"more of job will be automated - processes, scheduling, record management",down,increased settlements before going to court,down,,,,,,,fewer,decrease,4,no,
3,Electrical mechanics,3,Electrical everything,up,Electric cars/trucks,up,,,,,,,more,increase,8,no,
3,Financial managers,3,increased percentage of work done by AI,down,globalization increases complexity of task,up,,,,,,,same,decrease,6,no,
3,Forestry technologists and technicians,3,Wood engineering makes many more wood products,up,Forests are managed for carbon sequestration,up,,,,,,,more,increase,6,no,
3,Furniture and fixture assemblers and inspectors,3,automated production,down,,,,,,,,,fewer,decrease,8,no,
3,Industrial and manufacturing engineers,3,Manufacturing Changing with 3D Printing,up,Greater automation of model building,down,,,,,,,more,remain constant,7,no,
3,Instructors of persons with disabilities,3,robots do instruction,down,technology to mitigate disabilities,down,self training apps,down,greater emphasis on meeting needs,up,,,fewer,remain constant,6,no,
3,"Labourers in food, beverage and associated products processing",3,almost everything in this occupation can be automated - i.e. robots,down,tiny specialized artisan producers,up,,,,,,,fewer,decrease,10,no,
3,Medical administrative assistants,3,office processes automated,down,patient contact automated or self serve,down,,,,,,,fewer,decrease,8,no,
3,"Operators and attendants in amusement, recreation and sport",3,"Much will be automated (self-driving, self-checkin)",down,More recreation facilities,up,,,,,,,fewer,decrease,6,no,
3,Plastics processing machine operators,3,More automation of processes,down,More 3D printing with plastics,up,,,,,,,more,increase,8,no,
3,"Senior managers - financial, communications and other business services",3,companies merging,down,technology allows greater span of control,down,more enterprises,up,,,,,same,remain constant,5,no,
3,"Supervisors, petroleum, gas and chemical processing and utilities",3,"Movement to alternative energies, new tech",up,Population increase means more utility plants,up,New technologies emerging,up,,,,,more,increase,8,no,
3,Underground production and development miners,3,increased recycling decreases need for mining,down,automated machines equals fewer operators,down,,,,,,,fewer,decrease,8,no,
3,"Air pilots, flight engineers and flying instructors",4,9,up,1,down,Globalization - travel,up,11,down,,,more,remain constant,6,no,
3,Air transport ramp attendants,4,more travel to our region,up,9,up,tech immigration,up,,,,,more,increase,8,no,
3,Airline ticket and service agents,4,1,down,11,down,9,up,globalization more global trade,up,,,more,remain constant,6,no,
3,Carpenters,4,30,up,29,up,11,down,Increasing population,up,,,more,increase,6,no,
3,Computer network technicians,4,1,down,9,up,4,down,12,up,25,up,fewer,decrease,7,no,
3,Correctional service officers,4,Political Uncertainty,up,11,down,30,up,,,,,same,remain constant,5,no,
3,Court clerks,4,9,up,13,up,demographic change,up,,,,,same,remain constant,6,no,
3,Electrical mechanics,4,1,down,9,down,,,,,,,fewer,decrease,5,no,
3,Financial managers,4,1,down,23,down,4,up,,,,,fewer,decrease,8,no,
3,Forestry technologists and technicians,4,12,up,Environmental change,up,,,,,,,more,remain constant,6,no,
3,Furniture and fixture assemblers and inspectors,4,tech change - 11,down,12,down,,,,,,,fewer,decrease,7,no,
3,Industrial and manufacturing engineers,4,17,up,28,up,12,up,1,down,,,more,increase,6,no,
3,Instructors of persons with disabilities,4,globalization,up,10,down,30,up,,,,,same,decrease,4,no,
3,"Labourers in food, beverage and associated products processing",4,16,up,1,down,globalization,up,,,,,fewer,decrease,7,no,
3,Medical administrative assistants,4,1,down,12,up,15,up,,,,,more,remain constant,5,no,
3,"Operators and attendants in amusement, recreation and sport",4,1 + tech change,down,Urbanization,down,23,down,,,,,fewer,decrease,6,no,
3,Plastics processing machine operators,4,All of environmental sustainability,down,1,down,,,,,,,fewer,decrease,7,no,
3,"Senior managers - financial, communications and other business services",4,9,up,28,up,16,down,24,up,30,down,fewer,decrease,6,no,additional trend: 26 (down)
3,"Supervisors, petroleum, gas and chemical processing and utilities",4,1 (overtime),down,Globalization,up,16,down,,,,,same,decrease,5,no,
3,Underground production and development miners,4,1,down,environmental change,down,26,down,,,,,fewer,decrease,8,no,
3,"Air pilots, flight engineers and flying instructors",5,12,up,More people,up,Industry shortage,up,,,,,more,increase,8,no,
3,Air transport ramp attendants,5,increased population,up,more travel,up,teleconfrencing,down,,,,,more,increase,7,no,
3,Airline ticket and service agents,5,1,down,23,down,,,,,,,fewer,decrease,8,no,
