noc,inc_projection
12,0.242545457
13,0.242545457
14,0.242545457
15,0.341420609
16,0.242545457
111,0.168876879
112,0.323533254
113,0.318163325
114,0.370942356
121,0.19933753
122,0.221296299
124,0.477461212
125,0.264001151
131,0.756059547
132,0.258655535
211,0.646117858
212,0.437549633
213,0.53891448
311,0.353534841
414,0.260209392
421,0.447923277
422,0.464277646
423,0.660024666
431,0.383022629
432,0.438743626
512,0.377376016
513,0.423195809
601,0.346116366
621,0.208820699
631,0.472541405
632,0.342240088
651,0.524353566
711,0.602732149
712,0.602732149
714,0.441847811
731,0.187728427
821,0.141778911
822,0.354698913
823,0.208262708
911,0.326154592
912,0.295418989
1111,0.260643915
1112,0.158630656
1113,0.109034306
1114,0.218932059
1121,0.246179362
1122,0.224238788
1123,0.496890885
1211,0.30987877
1212,0.30987877
1213,0.321368299
1214,0.258655535
1215,0.22210841
1221,0.282239293
1222,0.273821997
1223,0.224861444
1224,0.441847811
1225,0.217933803
1226,0.688774107
1227,0.156997673
1228,0.24447737
1241,0.282239293
1242,0.084708304
1243,0.138297861
1251,0.076352222
1252,0.143940845
1253,0.272273405
1254,0.489262019
1311,0.136877293
1312,0.469366315
1313,0.098236168
1314,0.073215499
1315,0.138599735
1411,0.206528887
1414,0.46462565
1415,0.098945737
1416,0.081173421
1422,0.175019591
1423,0.80825903
1431,0.136877293
1432,0.097224613
1434,0.073695288
1435,0.24447737
1451,0.361711747
1452,0.112904652
1454,0.181832715
1511,0.064626296
1512,0.069132592
1513,0.088488556
1521,0.110119707
1523,0.323991588
1524,0.156549239
1525,0.44118944
1526,0.403313085
2111,0.503539242
2112,0.351590285
2113,0.119697785
2114,0.26699043
2121,0.196402967
2122,0.077965487
2123,0.154101391
2131,0.576855605
2132,0.617042122
2133,0.686470689
2134,0.417369541
2141,0.5251625
2142,0.487273434
2143,0.296462724
2144,0.296462724
2145,0.398971376
2146,0.510733969
2147,0.628011679
2148,0.477500237
2151,0.71391198
2152,0.521593927
2153,0.310008842
2154,0.26130249
2161,0.301918251
2171,0.583804624
2172,0.468093328
2173,0.667914932
2174,0.621805128
2175,0.641649621
2211,0.241821596
2212,0.060960681
2221,0.194925393
2222,0.145359128
2223,0.163732355
2224,0.187704186
2225,0.206750752
2231,0.379201276
