noc,workshop.number,fewer,more,same,sum,not_increase,y,binned_y
Accommodation service managers,4,0.15789473684210525,0.631578947368421,0.21052631578947367,19.0,0.3684210526315789,more,more
Accounting technicians and bookkeepers,4,0.5789473684210527,0.2631578947368421,0.15789473684210525,19.0,0.7368421052631579,fewer,not_increase
"Air pilots, flight engineers and flying instructors",3,0.1,0.65,0.25,20.0,0.35,more,more
Air transport ramp attendants,3,0.35,0.4,0.25,20.0,0.6,more,not_increase
Airline ticket and service agents,3,0.75,0.1,0.15,20.0,0.9,fewer,not_increase
Carpenters,3,0.1,0.65,0.25,20.0,0.35,more,more
"Central control and process operators, petroleum, gas and chemical processing",1,0.6190476190476191,0.0,0.38095238095238093,21.0,1.0,fewer,not_increase
Chefs,4,0.0,1.0,0.0,19.0,0.0,more,more
Computer network technicians,1,0.09523809523809523,0.7619047619047619,0.14285714285714285,21.0,0.23809523809523808,more,more
Computer network technicians,2,0.08695652173913043,0.8260869565217391,0.08695652173913043,23.0,0.17391304347826086,more,more
Computer network technicians,3,0.25,0.65,0.1,20.0,0.35,more,more
Computer network technicians,4,0.3684210526315789,0.47368421052631576,0.15789473684210525,19.0,0.5263157894736842,more,not_increase
Computer network technicians,5,0.0,1.0,0.0,15.0,0.0,more,more
Computer network technicians,6,0.21739130434782608,0.6521739130434783,0.13043478260869565,23.0,0.34782608695652173,more,more
Cooks,5,0.0,0.7857142857142857,0.21428571428571427,14.0,0.21428571428571427,more,more
Correctional service officers,3,0.3,0.3,0.4,20.0,0.7,same,not_increase
Court clerks,1,0.8095238095238095,0.09523809523809523,0.09523809523809523,21.0,0.9047619047619048,fewer,not_increase
Court clerks,2,0.4782608695652174,0.17391304347826086,0.34782608695652173,23.0,0.8260869565217391,fewer,not_increase
Court clerks,3,0.5,0.25,0.25,20.0,0.75,fewer,not_increase
Court clerks,4,0.3684210526315789,0.2631578947368421,0.3684210526315789,19.0,0.7368421052631579,fewer,not_increase
Court clerks,5,0.3333333333333333,0.2,0.4666666666666667,15.0,0.8,same,not_increase
Court clerks,6,0.34782608695652173,0.30434782608695654,0.34782608695652173,23.0,0.6956521739130435,fewer,not_increase
Delivery and courier service drivers,5,0.26666666666666666,0.3333333333333333,0.4,15.0,0.6666666666666666,same,not_increase
Electrical mechanics,1,0.19047619047619047,0.5714285714285714,0.23809523809523808,21.0,0.42857142857142855,more,more
Electrical mechanics,2,0.043478260869565216,0.6086956521739131,0.34782608695652173,23.0,0.391304347826087,more,more
Electrical mechanics,3,0.1,0.8,0.1,20.0,0.2,more,more
Electrical mechanics,4,0.15789473684210525,0.7368421052631579,0.10526315789473684,19.0,0.2631578947368421,more,more
Electrical mechanics,5,0.06666666666666667,0.6,0.3333333333333333,15.0,0.4,more,more
Electrical mechanics,6,0.13043478260869565,0.5652173913043478,0.30434782608695654,23.0,0.43478260869565216,more,more
Financial managers,1,0.23809523809523808,0.2857142857142857,0.47619047619047616,21.0,0.7142857142857143,same,not_increase
Financial managers,2,0.2608695652173913,0.30434782608695654,0.43478260869565216,23.0,0.6956521739130435,same,not_increase
Financial managers,3,0.4,0.45,0.15,20.0,0.55,more,not_increase
Financial managers,4,0.2631578947368421,0.5263157894736842,0.21052631578947367,19.0,0.47368421052631576,more,more
Financial managers,5,0.4,0.3333333333333333,0.26666666666666666,15.0,0.6666666666666666,fewer,not_increase
Financial managers,6,0.6086956521739131,0.13043478260869565,0.2608695652173913,23.0,0.8695652173913043,fewer,not_increase
Fish and seafood plant workers,6,0.5652173913043478,0.08695652173913043,0.34782608695652173,23.0,0.9130434782608695,fewer,not_increase
Fishermen/women,6,0.9565217391304348,0.0,0.043478260869565216,23.0,1.0,fewer,not_increase
