workshop.number,noc,participant.id,trend.1,effect.1,trend.2,effect.2,trend.3,effect.3,trend.4,effect.4,trend.5,effect.5,absolute,share,comfort,missing.q,add.notes
5,Computer network technicians,1,1,up,3,up,25,up,,,,,more,increase,8,no,
5,Cooks,1,13,up,1,down,16,up,,,,,same,increase,6,no,Trend no. 1 = robotization
5,Court clerks,1,1,down,3,down,10,up,25,up,,,fewer,decrease,8,no,
5,Delivery and courier service drivers,1,1,down,6,up,28,down,23,up,,,same,remain constant,5,no,
5,Electrical mechanics,1,5,up,,,,,,,,,more,increase,3,no,
5,Financial managers,1,1,down,3,down,25,up,,,,,fewer,decrease,8,no,
5,Forestry technologists and technicians,1,19,up,2,down,1,down,,,,,fewer,remain constant,5,no,
5,Furniture and fixture assemblers and inspectors,1,5,down,18,down,,,,,,,fewer,decrease,7,no,
5,Industrial and manufacturing engineers,1,5,down,11,down,,,,,,,fewer,decrease,7,no,
5,Instructors of persons with disabilities,1,17,up,increased scientific knowledge,up,,,,,,,more,increase,7,no,
5,"Labourers in food, beverage and associated products processing",1,1,down,local economy / convenience store,down,5,down,28,down,,,fewer,decrease,7,no,1 = automatization
5,Light duty cleaners,1,16,up,13,up,unionization,up,28,up,aging population,up,more,increase,6,no,
5,Medical administrative assistants,1,3,down,23,up,increased spending in health care,up,,,,,same,remain constant,6,no,
5,"Operators and attendants in amusement, recreation and sport",1,1,down,13,up,4,up,2,down,,,same,remain constant,7,no,
5,Plastics processing machine operators,1,18,down,1,down,21,up,28,up,,,fewer,decrease,8,no,"trend no. 21 says ""towards recycling"""
5,"Senior managers - financial, communications and other business services",1,24,none,1,down,3,down,28,down,,,fewer,decrease,6,no,
5,Shippers and receivers,1,6,down,1,down,5,down,,,,,fewer,decrease,7,no,
5,"Store shelf stockers, clerks and order fillers",1,6,down,22,up,16,down,5,down,,,fewer,decrease,8,no,6= online shopping 22 = more shopping mall
5,"Supervisors, petroleum, gas and chemical processing and utilities",1,21,down,new management model,down,,,,,,,fewer,decrease,7,no,
5,Underground production and development miners,1,27,down,1,down,18,down,,,,,fewer,decrease,5,no,
5,Computer network technicians,2,1,up,3,up,,,,,,,more,increase,9,no,
5,Cooks,2,Increased consumption need,up,Increased quality of life ,up,Unattractive job,down,Domain where immigration will fill up,up,,,more,increase,10,no,trend no 4 on the back of the form
5,Court clerks,2,increased criminality,up,2,down,"evolution, automatization of tasks",down,,,,,same,decrease,5,no,
5,Delivery and courier service drivers,2,e-commerce,up,unattractive job,down,,,,,,,same,remain constant,5,no,
5,Electrical mechanics,2,1,up,5,up,,,,,,,more,increase,9,no,
5,Financial managers,2,"globalization, corporate mergers",down,rationalization of the bank industry,down,1,down,,,,,fewer,decrease,5,no,
5,Forestry technologists and technicians,2,declining industry,down,19,up,,,,,,,fewer,decrease,8,no,
5,Furniture and fixture assemblers and inspectors,2,globalization,down,1,down,,,,,,,fewer,decrease,10,no,1 = automatization. Not sure if globalization is trend 12
5,Industrial and manufacturing engineers,2,new economy,up,technological development (1),up,increased productivity (1),up,,,,,more,increase,7,no,2nd and 3rd trends both have no. 1 besides the words. Not sure what to do. 
5,Instructors of persons with disabilities,2,increased need for illness screening,up,aging population,up,job depends of public funding,down,,,,,same,decrease,7,no,
5,"Labourers in food, beverage and associated products processing",2,1,down,labour shortage unattractive jobs,down,,,,,,,fewer,decrease,10,no,
