workshop.number,noc,participant.id,trend.1,effect.1,trend.2,effect.2,trend.3,effect.3,trend.4,effect.4,trend.5,effect.5,absolute,share,comfort,missing.q,add.notes
6,Computer network technicians,1,29,up,soft skills,up,3,down,,,,,more,increase,5,,
6,Court clerks,1,12,up,Face to face communication,up,,,,,,,fewer,decrease,6,,
6,Electrical mechanics,1,30,up,23,down,IoT,down,5,down,,,more,increase,6,,
6,Financial managers,1,3,down,global/small operations,up,13,down,1,up,,,more,increase,5,,
6,Fish and seafood plant workers,1,13,down,Technology change,down,Younger workers,up,Rural/urban divide ,up,Foreign workers,up,same,remain constant,4,,
6,Fishermen/women,1,Aging population ,down,28,up,Climate change,down,Policies / regulations,down,Technology,down,fewer,decrease,5,,
6,Forestry technologists and technicians,1,1,up,13,down,15,up,31,up,3,down,same,remain constant,6,,
6,Furniture and fixture assemblers and inspectors,1,Globalization,up,Aging population,down,18,down,DIY,down,,,fewer,decrease,6,,
6,Industrial and manufacturing engineers,1,1,up,multi-generational workforce,up,5,up,superclusters,up,,,same,remain constant,7,,
6,Instructors of persons with disabilities,1,2,up,7,up,Aging populations,down,,,,,fewer,decrease,5,,
6,"Labourers in food, beverage and associated products processing",1,1,down,31,up,,,,,,,same,remain constant,5,,
6,Medical administrative assistants,1,1,up,aging population,up,30,up,,,,,more,increase,7,,
6,"Operators and attendants in amusement, recreation and sport",1,16,up,13,down,23,down,Inclusive design,up,,,fewer,decrease,4,,
6,Paramedical occupations,1,Aging population,up,1,up,15,up,28,up,Privatization of healthcare,up,more,increase,7,,
6,Plastics processing machine operators,1,18,down,21,up,1,down,30,up,,,fewer,decrease,5,,
6,Registered nurses and registered psychiatric nurses,1,Aging population,up,15,up,28,up,Labour demand increase,up,urban / rural divide,up,more,increase,8,,
6,"Senior managers - financial, communications and other business services",1,13,up,15,up,30,up,Multi-generational awareness,up,,,same,remain constant,6,,
6,"Steamfitters, pipefitters and sprinkler system installers",1,15,up,Technology,up,Energy efficiency,up,,,,,more,increase,6,,
6,"Supervisors, petroleum, gas and chemical processing and utilities",1,Automation,down,15,up,Multigenerational approach,up,21,up,,,more,increase,6,,
6,Underground production and development miners,1,1,down,13,down,Environmental shift,up,,,,,fewer,decrease,7,,
6,Computer network technicians,3,9,up,5,up,7,up,,,,,more,increase,9,,
6,Court clerks,3,1,down,2,down,,,,,,,same,remain constant,7,,
6,Electrical mechanics,3,1,up,13,up,16,up,18,up,,,more,increase,8,,
6,Financial managers,3,1,down,12,down,27,up,,,,,fewer,decrease,6,,
6,Fish and seafood plant workers,3,Globalization,down,Automation,down,,,,,,,fewer,remain constant,7,,
6,Fishermen/women,3,18,down,globalization ,down,13,down,,,,,fewer,decrease,9,,
6,Forestry technologists and technicians,3,19,up,18,up,5,down,,,,,fewer,decrease,4,,
6,Furniture and fixture assemblers and inspectors,3,23,down,Demographic,down,Vintage,down,,,,,fewer,decrease,7,,
6,Industrial and manufacturing engineers,3,1,down,12,down,24,up,13,down,Applicability across sectors,up,same,remain constant,5,,
6,Instructors of persons with disabilities,3,13,up,17,up,2,down,8,down,30,up,more,remain constant,8,,
6,"Labourers in food, beverage and associated products processing",3,Global markets,down,6,down,Consumer preferences,up,31,up,28,up,same,decrease,7,,
6,Medical administrative assistants,3,1,down,2,down,13,down,,,,,fewer,decrease,8,,
6,"Operators and attendants in amusement, recreation and sport",3,13,up,16,up,Safety agenda,up,Health concerns (e.g. obesity),up,,,more,increase,5,,
6,Paramedical occupations,3,31,up,1,up,Aging population,up,,,,,more,remain constant,8,,
6,Plastics processing machine operators,3,21,down,18,down,5,down,,,,,fewer,decrease,9,,
6,Registered nurses and registered psychiatric nurses,3,13,up,Aging population / demands,up,,,,,,,same,remain constant,8,,
6,"Senior managers - financial, communications and other business services",3,24,up,28,up,30,down,Shifting role boundaries ,down,,,same,remain constant,6,,
6,"Steamfitters, pipefitters and sprinkler system installers",3,Automation / technology,down,"Off grid, alternative application",up,,,,,,,same,remain constant,7,,
6,"Supervisors, petroleum, gas and chemical processing and utilities",3,18,down,1,down,Climate change,up,,,,,more,increase,7,,
6,Underground production and development miners,3,13,up,"Labor supply down, not keep up with demand for employees",down,12,up,,,,,more,remain constant,8,,
6,Computer network technicians,4,1,up,24,up,29,up,11,up,2,up,more,increase,9,,
6,Court clerks,4,1,down,31,down,,,,,,,fewer,decrease,5,,
6,Electrical mechanics,4,21,up,23,down,Internet of Things,down,5,up,,,more,increase,8,,
6,Financial managers,4,13,up,9,down,3,up,1,down,,,more,remain constant,6,,
6,Fish and seafood plant workers,4,Immigration,up,18,down,23,up,,,,,more,increase,10,,
6,Fishermen/women,4,18,down,27,down,23,down,19,down,,,fewer,decrease,10,,
6,Forestry technologists and technicians,4,18,up,19,up,5,up,31,up,,,more,increase,7,,
6,Furniture and fixture assemblers and inspectors,4,5,down,23,down,Planned obsolesence,down,18,down,,,fewer,decrease,9,,
6,Industrial and manufacturing engineers,4,1,down,5,down,12,none,autonomous vehicles,up,21,up,more,remain constant,8,,
6,Instructors of persons with disabilities,4,1,down,13,up,2,down,17,down,8,down,fewer,decrease,9,,additional trend: automation vehicles - down
6,"Labourers in food, beverage and associated products processing",4,23,down,Buy local,up,,,,,,,more,increase,9,,
6,Medical administrative assistants,4,1,down,Aging population,up,14,up,,,,,same,remain constant,3,,
6,"Operators and attendants in amusement, recreation and sport",4,Gig economy / short work week,up,13,down,23,down,17,up,2,down,more,increase,8,,
6,Paramedical occupations,4,Aging population,up,27,up,1,up,14,up,,,more,increase,9,,
6,Plastics processing machine operators,4,1,down,Environment focus / conscious buying,down,,,,,,,fewer,decrease,10,,
6,Registered nurses and registered psychiatric nurses,4,14,up,23,up,31,up,Aging population,up,24,up,more,increase,10,,"Additional trend: 1, up"
6,"Senior managers - financial, communications and other business services",4,1,up,Mass retirement,down,Increasing mid-career entrepreneurship,up,,,,,same,remain constant,6,,
6,"Steamfitters, pipefitters and sprinkler system installers",4,27,up,22,up,31,up,21,up,,,more,increase,10,,
6,"Supervisors, petroleum, gas and chemical processing and utilities",4,Env requirements,up,Litigation,up,,,,,,,more,increase,9,,
6,Underground production and development miners,4,1,down,Autonomous vehicles,down,17,none,18,up,,,fewer,decrease,9,,
6,Computer network technicians,5,12,down,25,up,,,,,,,same,remain constant,3,,
6,Court clerks,5,18,up,19,up,20,up,1,down,,,more,increase,7,,
6,Electrical mechanics,5,Wont be enough people to keep up with demand,up,2,down,,,,,,,fewer,decrease,6,,
6,Financial managers,5,1,down,3,down,23,down,,,,,fewer,decrease,7,,
6,Fish and seafood plant workers,5,1,down,Demographic change,down,Agriculture in NL on the rise,up,Urbanization,down,,,fewer,decrease,5,,
6,Fishermen/women,5,Climate change ,down,18,down,28,up,1,down,,,fewer,decrease,4,,
6,Forestry technologists and technicians,5,1 + UAVs,down,,,,,,,,,fewer,decrease,6,,
6,Furniture and fixture assemblers and inspectors,5,5,down,23,down,Minimalism,down,,,,,fewer,decrease,5,,
6,Industrial and manufacturing engineers,5,5,down,16,down,,,,,,,fewer,decrease,4,,
6,Instructors of persons with disabilities,5,17,up,2,down,Mental health on the rise,up,,,,,same,remain constant,4,,
6,"Labourers in food, beverage and associated products processing",5,Automation,down,Microbreweries,up,31,up,28,up,,,more,increase,5,,
6,Medical administrative assistants,5,1,down,11,down,,,,,,,fewer,decrease,8,,
6,"Operators and attendants in amusement, recreation and sport",5,Security will see continued need for people,down,,,,,,,,,same,remain constant,4,,
6,Paramedical occupations,5,Environmental,up,,,,,,,,,more,increase,4,,
6,Plastics processing machine operators,5,5,down,Climate change,down,1 + automation,down,,,,,fewer,decrease,5,,
6,Registered nurses and registered psychiatric nurses,5,scope of practice for registered nurses going down,down,Environmental / demographic ,up,Need to recruit more men,up,,,,,more,increase,5,,
6,"Senior managers - financial, communications and other business services",5,6,down,23,down,,,,,,,fewer,decrease,4,,
6,"Steamfitters, pipefitters and sprinkler system installers",5,Cant see us not needing this skill occupation,up,Demographics,up,climate change,up,,,,,more,increase,5,,
6,"Supervisors, petroleum, gas and chemical processing and utilities",5,Climate change and issues,up,,,,,,,,,same,remain constant,4,,Note: I see this as labour not meeting demand
6,Underground production and development miners,5,1,down,21,down,,,,,,,fewer,decrease,6,,
6,Computer network technicians,6,Cloud based technology,down,12,down,"non-standard, gig work",both,Less technicians and more designers/ creating smart human interfaces that work well,down,,,fewer,decrease,3,,
6,Court clerks,6,1 + tasks will likely change,both,7 + identity crimes,up,31,up,Inequality,up,Populism,up,same,decrease,5,,
6,Electrical mechanics,6,1,both,disposable/short life of electronics,up,8,both,,,,,more,increase,5,,
6,Financial managers,6,1,down,28 + gig/ non standard - need personal financial mgmt,up,3,down,9 + security of our money bigger priority,down,23 + may invest in property instead of stocks,down,fewer,decrease,6,,
6,Fish and seafood plant workers,6,"Environment, decrease in packaging",down,Political/policy priorities,up,1,down,,,,,same,remain constant,2,,
6,Fishermen/women,6,Consolidation of fishing licenses ,down,18,down,Aging population,down,Diversification of where is being fished,up,,,fewer,decrease,6,,
6,Forestry technologists and technicians,6,18 + shift from harvesting to conservation,both,19 + fire suppression,both,Environmental awareness,both,1,down,"decreased demand for paper products, increased demand environment protection",both,same,remain constant,5,,
6,Furniture and fixture assemblers and inspectors,6,1,down,5,down,"reduce, reuse - upfurbishing",up,importing,down,"Vintage, buy Canadian",up,fewer,decrease,5,,
6,Industrial and manufacturing engineers,6,1 + demand for human managed automation,up,5 + automate manufaturing + decreased human error,both,Fewer on assembly line - more designing AI efficient processes,up,,,,,more,increase,5,,
6,Instructors of persons with disabilities,6,17,,mental health crisis,up,2,down,1,down,15,up,more,increase,6,,
6,"Labourers in food, beverage and associated products processing",6,26,down,buy local environmetal activism - decreased packaging,down,6,down,31,up,,,fewer,decrease,6,,
6,Medical administrative assistants,6,1,down,mental health crisis,up,aging population and inequality,up,4,down,"remote medicine, Dr. Google",down,fewer,decrease,7,,
6,"Operators and attendants in amusement, recreation and sport",6,2,down,4,up,1,down,16,up,Aging population,none,fewer,decrease,4,,"Could be an additional trend: Safety/ avoidance of croweded areas as targets, none"
6,Paramedical occupations,6,31: gateway to opioids drug induced psychosis,up,22 + go to patients vs patients to hospitals,up,Aging population,up,Mental health crisis,up,,,more,increase,6,,
6,Plastics processing machine operators,6,"Environment, decreased plastic use ",down,1,down,5,down,18,down,,,fewer,decrease,7,,Coment: similar jobs but working with materials other than plastics
6,Registered nurses and registered psychiatric nurses,6,Mental health needs,up,Aging population / demands,up,Scarcity of doctors,up,31,up,"Less money for healthcare, nurse practitioners and para professinals",down,more,increase,7,,
6,"Senior managers - financial, communications and other business services",6,28: increase senior mgmt of own enterprise,up,23: decrease middle mgt,down,"26: backlash - increased SMEs, nonprofits",down,"Mega companies, fewer of them",down,,,fewer,decrease,6,,
6,"Steamfitters, pipefitters and sprinkler system installers",6,1,down,Green building,down,Retrofitting,up,Infrastructure projects,up,"Aging population - care homes, safety",up,same,remain constant,5,,
